Laser	Light	Scattering	(SOLID)
Depth	Average
1950.002	253
1950.004	112
1950.006	56
1950.008	47
1950.010	46
1950.012	60
1950.014	94
1950.016	355
1950.018	559
1950.020	206
1950.022	155
1950.024	133
1950.026	154
1950.028	174
1950.030	220
1950.032	283
1950.034	430
1950.036	398
1950.038	278
1950.040	352
1950.042	674
1950.044	874
1950.046	373
1950.048	280
1950.050	407
1950.052	468
1950.054	509
1950.056	288
1950.058	221
1950.060	190
1950.062	102
1950.064	76
1950.066	64
1950.068	60
1950.070	100
1950.072	143
1950.074	95
1950.076	88
1950.078	106
1950.080	88
1950.082	115
1950.084	158
1950.086	148
1950.088	193
1950.090	196
1950.092	229
1950.094	257
1950.096	204
1950.098	170
1950.100	214
1950.102	248
1950.104	337
1950.106	351
1950.108	142
1950.110	66
1950.112	60
1950.114	71
1950.116	71
1950.118	77
1950.120	84
1950.122	143
1950.124	268
1950.126	404
1950.128	538
1950.130	342
1950.132	278
1950.134	324
1950.136	464
1950.138	638
1950.140	599
1950.142	420
1950.144	392
1950.146	215
1950.148	239
1950.150	479
1950.152	327
1950.154	132
1950.156	237
1950.158	281
1950.160	228
1950.162	165
1950.164	192
1950.166	184
1950.168	184
1950.170	144
1950.172	100
1950.174	141
1950.176	146
1950.178	142
1950.180	143
1950.182	137
1950.184	130
1950.186	93
1950.188	148
1950.190	239
1950.192	386
1950.194	301
1950.196	188
1950.198	142
1950.200	128
1950.202	229
1950.204	454
1950.206	847
1950.208	602
1950.210	464
1950.212	172
1950.214	168
1950.216	431
1950.218	291
1950.220	107
1950.222	101
1950.224	116
1950.226	55
1950.228	106
1950.230	103
1950.232	107
1950.234	89
1950.236	90
1950.238	58
1950.240	88
1950.242	208
1950.244	259
1950.246	104
1950.248	201
1950.250	259
1950.252	230
1950.254	176
1950.256	140
1950.258	125
1950.260	124
1950.262	124
1950.264	93
1950.266	200
1950.268	294
1950.270	200
1950.272	276
1950.274	904
1950.276	693
1950.278	210
1950.280	174
1950.282	175
1950.284	111
1950.286	107
1950.288	109
1950.290	256
1950.292	302
1950.294	299
1950.296	293
1950.298	290
1950.300	266
1950.302	200
1950.304	178
1950.306	220
1950.308	105
1950.310	184
1950.312	113
1950.314	216
1950.316	116
1950.318	169
1950.320	162
1950.322	174
1950.324	177
1950.326	166
1950.328	159
1950.330	168
1950.332	164
1950.334	150
1950.336	142
1950.338	272
1950.340	208
1950.342	95
1950.344	122
1950.346	290
1950.348	457
1950.350	446
1950.352	469
1950.354	528
1950.356	344
1950.358	323
1950.360	299
1950.362	277
1950.364	266
1950.366	247
1950.368	243
1950.370	114
1950.372	168
1950.374	217
1950.376	153
1950.378	212
1950.380	370
1950.382	243
1950.384	342
1950.386	248
1950.388	86
1950.390	82
1950.392	70
1950.394	71
1950.396	87
1950.398	116
1950.400	97
1950.402	86
1950.404	69
1950.406	192
1950.408	244
1950.410	160
1950.412	215
1950.414	336
1950.416	270
1950.418	213
1950.420	242
1950.422	329
1950.424	309
1950.426	322
1950.428	201
1950.430	101
1950.432	121
1950.434	131
1950.436	89
1950.438	64
1950.440	82
1950.442	92
1950.444	195
1950.446	314
1950.448	325
1950.450	347
1950.452	363
1950.454	344
1950.456	356
1950.458	399
1950.460	687
1950.462	741
1950.464	685
1950.466	368
1950.468	90
1950.470	79
1950.472	86
1950.474	160
1950.476	426
1950.478	260
1950.480	242
1950.482	179
1950.484	284
1950.486	306
1950.488	421
1950.490	532
1950.492	660
1950.502	352
1950.504	589
1950.506	810
1950.508	577
1950.510	284
1950.512	140
1950.514	107
1950.516	107
1950.518	140
1950.520	263
1950.522	1016
1950.524	1149
1950.526	762
1950.528	430
1950.530	297
1950.532	281
1950.534	248
1950.536	188
1950.538	180
1950.540	212
1950.542	275
1950.544	190
1950.546	102
1950.548	99
1950.550	104
1950.552	110
1950.554	120
1950.556	90
1950.558	188
1950.560	546
1950.562	558
1950.564	386
1950.566	279
1950.568	260
1950.570	224
1950.572	327
1950.574	398
1950.576	293
1950.578	260
1950.580	245
1950.582	232
1950.584	219
1950.586	221
1950.588	213
1950.590	177
1950.592	134
1950.594	312
1950.596	500
1950.598	468
1950.600	488
1950.602	304
1950.604	215
1950.606	143
1950.608	96
1950.610	112
1950.612	138
1950.614	305
1950.616	472
1950.618	575
1950.620	680
1950.622	1147
1950.624	1147
1950.626	1148
1950.628	1150
1950.630	1147
1950.632	1146
1950.634	1145
1950.636	1146
1950.638	1147
1950.640	1146
1950.642	1146
1950.644	1145
1950.646	1147
1950.648	1149
1950.650	1149
1950.652	1096
1950.654	531
1950.656	461
1950.658	429
1950.660	375
1950.662	312
1950.664	294
1950.666	274
1950.668	276
1950.670	312
1950.672	373
1950.674	431
1950.676	346
1950.678	168
1950.680	175
1950.682	285
1950.684	383
1950.686	396
1950.688	328
1950.690	406
1950.692	652
1950.694	504
1950.696	285
1950.698	249
1950.700	230
1950.702	199
1950.704	208
1950.706	281
1950.708	323
1950.710	336
1950.712	333
1950.714	307
1950.716	173
1950.718	103
1950.720	82
1950.722	137
1950.724	404
1950.726	385
1950.728	219
1950.730	108
1950.732	123
1950.734	143
1950.736	139
1950.738	109
1950.740	127
1950.742	142
1950.744	137
1950.746	150
1950.748	149
1950.750	172
1950.752	204
1950.754	208
1950.756	213
1950.758	216
1950.760	170
1950.762	146
1950.764	147
1950.766	166
1950.768	140
1950.770	193
1950.772	415
1950.774	492
1950.776	166
1950.778	107
1950.780	105
1950.782	102
1950.784	211
1950.786	276
1950.788	152
1950.790	203
1950.792	310
1950.794	244
1950.796	164
1950.798	125
1950.800	86
1950.802	164
1950.804	250
1950.806	234
1950.808	202
1950.810	345
1950.812	363
